2022-05-15 11:05:441 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 11:05:596 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 11:05:954 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 11:05:452 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:786 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:515 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:111 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:627 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:183 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:592 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-15 12:05:959 INFO  ManageDriver :35 - Launching Chrome Browser
2022-05-16 12:05:980 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 12:05:176 INFO  LoginPage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c5efe46862421a563e7c0ebd8eb85991)] -> link text: Log in]
2022-05-19 21:05:545 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:898 INFO  LoginPage :77 - clickOnComputer : [[ChromeDriver: chrome on WINDOWS (18481a55bdc97ec2cda98a3eb75ddcd0)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-19 21:05:975 INFO  LoginPage :31 - computerText : [[ChromeDriver: chrome on WINDOWS (18481a55bdc97ec2cda98a3eb75ddcd0)] -> tag name: h1]
2022-05-19 21:05:545 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:999 INFO  LoginPage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bb6026c09766e117df4f9e12b3694cd7)] -> link text: Log in]
2022-05-19 21:05:947 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:248 INFO  LoginPage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bd604ff08e8c14705f0fe7f15a2ded35)] -> link text: Log in]
2022-05-19 21:05:175 INFO  LoginPage :59 - logOutTextLink : Proxy element for: DefaultElementLocator 'By.linkText: Log out'
2022-05-19 21:05:759 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:71 INFO  LoginPage :71 - clickOnRegisterLink : [[ChromeDriver: chrome on WINDOWS (3d3669242fbf5feede99d60b5399531f)] -> link text: Register]
2022-05-19 21:05:636 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:864 INFO  LoginPage :77 - clickOnComputer : [[ChromeDriver: chrome on WINDOWS (3e15aafd8d637f39fb5bedaffb4fa8fc)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-19 21:05:954 INFO  LoginPage :31 - computerText : [[ChromeDriver: chrome on WINDOWS (3e15aafd8d637f39fb5bedaffb4fa8fc)] -> tag name: h1]
2022-05-19 21:05:407 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:151 INFO  LoginPage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f2f78b4586c98edf332ca58516279e73)] -> link text: Log in]
2022-05-19 21:05:668 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:578 INFO  LoginPage :48 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a0cc351177027d69a06de44166ffa96d)] -> link text: Log in]
2022-05-19 21:05:862 INFO  LoginPage :59 - logOutTextLink : Proxy element for: DefaultElementLocator 'By.linkText: Log out'
2022-05-19 21:05:241 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 21:05:552 INFO  LoginPage :71 - clickOnRegisterLink : [[ChromeDriver: chrome on WINDOWS (2a1ca9836f9c4587fbe5968420d0e7e5)] -> link text: Register]
